orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,25,15,4,gfpga_pad_IO_A2F[228],,,,
TOP,25,15,5,gfpga_pad_IO_A2F[229],,,,
TOP,25,15,6,gfpga_pad_IO_A2F[230],,,,
TOP,25,15,7,gfpga_pad_IO_A2F[231],,,,
TOP,25,15,8,gfpga_pad_IO_A2F[232],,,,
TOP,25,15,9,gfpga_pad_IO_A2F[233],,,,
TOP,25,15,10,gfpga_pad_IO_A2F[234],,,,
TOP,25,15,11,gfpga_pad_IO_A2F[235],,,,
TOP,25,15,12,gfpga_pad_IO_A2F[236],,,,
TOP,25,15,13,gfpga_pad_IO_A2F[237],,,,
TOP,25,15,14,gfpga_pad_IO_A2F[238],,,,
TOP,25,15,15,gfpga_pad_IO_A2F[239],,,,
TOP,25,16,0,gfpga_pad_IO_A2F[240],,,,
TOP,25,16,1,gfpga_pad_IO_A2F[241],,,,
TOP,25,16,2,gfpga_pad_IO_A2F[242],,,,
TOP,25,16,3,gfpga_pad_IO_A2F[243],,,,
TOP,25,16,4,gfpga_pad_IO_A2F[244],,,,
TOP,25,16,5,gfpga_pad_IO_A2F[245],,,,
TOP,25,16,6,gfpga_pad_IO_A2F[246],,,,
TOP,25,16,7,gfpga_pad_IO_A2F[247],,,,
TOP,25,16,8,gfpga_pad_IO_A2F[248],,,,
TOP,25,16,9,gfpga_pad_IO_A2F[249],,,,
TOP,25,16,10,gfpga_pad_IO_A2F[250],,,,
TOP,25,16,11,gfpga_pad_IO_A2F[251],,,,
TOP,25,16,12,gfpga_pad_IO_A2F[252],,,,
TOP,25,16,13,gfpga_pad_IO_A2F[253],,,,
TOP,25,16,14,gfpga_pad_IO_A2F[254],,,,
TOP,25,16,15,gfpga_pad_IO_A2F[255],,,,
TOP,25,17,0,gfpga_pad_IO_A2F[256],,,,
TOP,25,17,1,gfpga_pad_IO_A2F[257],,,,
TOP,25,17,2,gfpga_pad_IO_A2F[258],,,,
TOP,25,17,3,gfpga_pad_IO_A2F[259],,,,
TOP,25,17,4,gfpga_pad_IO_A2F[260],,,,
TOP,25,17,5,gfpga_pad_IO_A2F[261],,,,
TOP,25,17,6,gfpga_pad_IO_A2F[262],,,,
TOP,25,17,7,gfpga_pad_IO_A2F[263],,,,
TOP,25,17,8,gfpga_pad_IO_A2F[264],,,,
TOP,25,17,9,gfpga_pad_IO_A2F[265],,,,
TOP,25,17,10,gfpga_pad_IO_A2F[266],,,,
TOP,25,17,11,gfpga_pad_IO_A2F[267],,,,
TOP,25,17,12,gfpga_pad_IO_A2F[268],,,,
TOP,25,17,13,gfpga_pad_IO_A2F[269],,,,
TOP,25,17,14,gfpga_pad_IO_A2F[270],,,,
TOP,25,17,15,gfpga_pad_IO_A2F[271],,,,
TOP,25,18,0,gfpga_pad_IO_A2F[272],,,,
TOP,25,18,1,gfpga_pad_IO_A2F[273],,,,
TOP,25,18,2,gfpga_pad_IO_A2F[274],,,,
TOP,25,18,3,gfpga_pad_IO_A2F[275],,,,
TOP,25,18,4,gfpga_pad_IO_A2F[276],,,,
TOP,25,18,5,gfpga_pad_IO_A2F[277],,,,
TOP,25,18,6,gfpga_pad_IO_A2F[278],,,,
TOP,25,18,7,gfpga_pad_IO_A2F[279],,,,
TOP,25,18,8,gfpga_pad_IO_A2F[280],,,,
TOP,25,18,9,gfpga_pad_IO_A2F[281],,,,
TOP,25,18,10,gfpga_pad_IO_A2F[282],,,,
TOP,25,18,11,gfpga_pad_IO_A2F[283],,,,
TOP,25,18,12,gfpga_pad_IO_A2F[284],,,,
TOP,25,18,13,gfpga_pad_IO_A2F[285],,,,
TOP,25,18,14,gfpga_pad_IO_A2F[286],,,,
TOP,25,18,15,gfpga_pad_IO_A2F[287],,,,
TOP,25,19,0,gfpga_pad_IO_A2F[288],,,,
TOP,25,19,1,gfpga_pad_IO_A2F[289],,,,
TOP,25,19,2,gfpga_pad_IO_A2F[290],,,,
TOP,25,19,3,gfpga_pad_IO_A2F[291],,,,
TOP,25,19,4,gfpga_pad_IO_A2F[292],,,,
TOP,25,19,5,gfpga_pad_IO_A2F[293],,,,
TOP,25,19,6,gfpga_pad_IO_A2F[294],,,,
TOP,25,19,7,gfpga_pad_IO_A2F[295],,,,
TOP,25,19,8,gfpga_pad_IO_A2F[296],,,,
TOP,25,19,9,gfpga_pad_IO_A2F[297],,,,
TOP,25,19,10,gfpga_pad_IO_A2F[298],,,,
TOP,25,19,11,gfpga_pad_IO_A2F[299],,,,
TOP,25,19,12,gfpga_pad_IO_A2F[300],,,,
TOP,25,19,13,gfpga_pad_IO_A2F[301],,,,
TOP,25,19,14,gfpga_pad_IO_A2F[302],,,,
TOP,25,19,15,gfpga_pad_IO_A2F[303],,,,
TOP,25,20,0,gfpga_pad_IO_A2F[304],,,,
TOP,25,20,1,gfpga_pad_IO_A2F[305],,,,
TOP,25,20,2,gfpga_pad_IO_A2F[306],,,,
TOP,25,20,3,gfpga_pad_IO_A2F[307],,,,
TOP,25,20,4,gfpga_pad_IO_A2F[308],,,,
TOP,25,20,5,gfpga_pad_IO_A2F[309],,,,
TOP,25,20,6,gfpga_pad_IO_A2F[310],,,,
TOP,25,20,7,gfpga_pad_IO_A2F[311],,,,
TOP,25,20,8,gfpga_pad_IO_A2F[312],,,,
TOP,25,20,9,gfpga_pad_IO_A2F[313],,,,
TOP,25,20,10,gfpga_pad_IO_A2F[314],,,,
TOP,25,20,11,gfpga_pad_IO_A2F[315],,,,
TOP,25,20,12,gfpga_pad_IO_A2F[316],,,,
TOP,25,20,13,gfpga_pad_IO_A2F[317],,,,
TOP,25,20,14,gfpga_pad_IO_A2F[318],,,,
TOP,25,20,15,gfpga_pad_IO_A2F[319],,,,
TOP,25,21,0,gfpga_pad_IO_A2F[320],,,,
TOP,25,21,1,gfpga_pad_IO_A2F[321],,,,
TOP,25,21,2,gfpga_pad_IO_A2F[322],,,,
TOP,25,21,3,gfpga_pad_IO_A2F[323],,,,
TOP,25,21,4,gfpga_pad_IO_A2F[324],,,,
TOP,25,21,5,gfpga_pad_IO_A2F[325],,,,
TOP,25,21,6,gfpga_pad_IO_A2F[326],,,,
TOP,25,21,7,gfpga_pad_IO_A2F[327],,,,
TOP,25,21,8,gfpga_pad_IO_A2F[328],,,,
TOP,25,21,9,gfpga_pad_IO_A2F[329],,,,
TOP,25,21,10,gfpga_pad_IO_A2F[330],,,,
TOP,25,21,11,gfpga_pad_IO_A2F[331],,,,
TOP,25,21,12,gfpga_pad_IO_A2F[332],,,,
TOP,25,21,13,gfpga_pad_IO_A2F[333],,,,
TOP,25,21,14,gfpga_pad_IO_A2F[334],,,,
TOP,25,21,15,gfpga_pad_IO_A2F[335],,,,
TOP,25,22,0,gfpga_pad_IO_A2F[336],,,,
TOP,25,22,1,gfpga_pad_IO_A2F[337],,,,
TOP,25,22,2,gfpga_pad_IO_A2F[338],,,,
TOP,25,22,3,gfpga_pad_IO_A2F[339],,,,
TOP,25,22,4,gfpga_pad_IO_A2F[340],,,,
TOP,25,22,5,gfpga_pad_IO_A2F[341],,,,
TOP,25,22,6,gfpga_pad_IO_A2F[342],,,,
TOP,25,22,7,gfpga_pad_IO_A2F[343],,,,
TOP,25,22,8,gfpga_pad_IO_A2F[344],,,,
TOP,25,22,9,gfpga_pad_IO_A2F[345],,,,
TOP,25,22,10,gfpga_pad_IO_A2F[346],,,,
TOP,25,22,11,gfpga_pad_IO_A2F[347],,,,
TOP,25,22,12,gfpga_pad_IO_A2F[348],,,,
TOP,25,22,13,gfpga_pad_IO_A2F[349],,,,
TOP,25,22,14,gfpga_pad_IO_A2F[350],,,,
TOP,25,22,15,gfpga_pad_IO_A2F[351],,,,
TOP,25,23,0,gfpga_pad_IO_A2F[352],,,,
TOP,25,23,1,gfpga_pad_IO_A2F[353],,,,
TOP,25,23,2,gfpga_pad_IO_A2F[354],,,,
TOP,25,23,3,gfpga_pad_IO_A2F[355],,,,
TOP,25,23,4,gfpga_pad_IO_A2F[356],,,,
TOP,25,23,5,gfpga_pad_IO_A2F[357],,,,
TOP,25,23,6,gfpga_pad_IO_A2F[358],,,,
TOP,25,23,7,gfpga_pad_IO_A2F[359],,,,
TOP,25,23,8,gfpga_pad_IO_A2F[360],,,,
TOP,25,23,9,gfpga_pad_IO_A2F[361],,,,
TOP,25,23,10,gfpga_pad_IO_A2F[362],,,,
TOP,25,23,11,gfpga_pad_IO_A2F[363],,,,
TOP,25,23,12,gfpga_pad_IO_A2F[364],,,,
TOP,25,23,13,gfpga_pad_IO_A2F[365],,,,
TOP,25,23,14,gfpga_pad_IO_A2F[366],,,,
TOP,25,23,15,gfpga_pad_IO_A2F[367],,,,
TOP,25,24,0,gfpga_pad_IO_A2F[368],,,,
TOP,25,24,1,gfpga_pad_IO_A2F[369],,,,
TOP,25,24,2,gfpga_pad_IO_A2F[370],,,,
TOP,25,24,3,gfpga_pad_IO_A2F[371],,,,
TOP,25,24,4,gfpga_pad_IO_A2F[372],,,,
TOP,25,24,5,gfpga_pad_IO_A2F[373],,,,
TOP,25,24,6,gfpga_pad_IO_A2F[374],,,,
TOP,25,24,7,gfpga_pad_IO_A2F[375],,,,
TOP,25,24,8,gfpga_pad_IO_A2F[376],,,,
TOP,25,24,9,gfpga_pad_IO_A2F[377],,,,
TOP,25,24,10,gfpga_pad_IO_A2F[378],,,,
TOP,25,24,11,gfpga_pad_IO_A2F[379],,,,
TOP,25,24,12,gfpga_pad_IO_A2F[380],,,,
TOP,25,24,13,gfpga_pad_IO_A2F[381],,,,
TOP,25,24,14,gfpga_pad_IO_A2F[382],,,,
TOP,25,24,15,gfpga_pad_IO_A2F[383],,,,
BOTTOM,0,24,0,gfpga_pad_IO_A2F[768],,,,
BOTTOM,0,24,1,gfpga_pad_IO_A2F[769],,,,
BOTTOM,0,24,2,gfpga_pad_IO_A2F[770],,,,
BOTTOM,0,24,3,gfpga_pad_IO_A2F[771],,,,
BOTTOM,0,24,4,gfpga_pad_IO_A2F[772],,,,
BOTTOM,0,24,5,gfpga_pad_IO_A2F[773],,,,
BOTTOM,0,24,6,gfpga_pad_IO_A2F[774],,,,
BOTTOM,0,24,7,gfpga_pad_IO_A2F[775],,,,
BOTTOM,0,24,8,gfpga_pad_IO_A2F[776],,,,
BOTTOM,0,24,9,gfpga_pad_IO_A2F[777],,,,
BOTTOM,0,24,10,gfpga_pad_IO_A2F[778],,,,
BOTTOM,0,24,11,gfpga_pad_IO_A2F[779],,,,
BOTTOM,0,24,12,gfpga_pad_IO_A2F[780],,,,
BOTTOM,0,24,13,gfpga_pad_IO_A2F[781],,,,
BOTTOM,0,24,14,gfpga_pad_IO_A2F[782],,,,
BOTTOM,0,24,15,gfpga_pad_IO_A2F[783],,,,
BOTTOM,0,23,0,gfpga_pad_IO_A2F[784],,,,
BOTTOM,0,23,1,gfpga_pad_IO_A2F[785],,,,
BOTTOM,0,23,2,gfpga_pad_IO_A2F[786],,,,
BOTTOM,0,23,3,gfpga_pad_IO_A2F[787],,,,
BOTTOM,0,23,4,gfpga_pad_IO_A2F[788],,,,
BOTTOM,0,23,5,gfpga_pad_IO_A2F[789],,,,
BOTTOM,0,23,6,gfpga_pad_IO_A2F[790],,,,
BOTTOM,0,23,7,gfpga_pad_IO_A2F[791],,,,
BOTTOM,0,23,8,gfpga_pad_IO_A2F[792],,,,
BOTTOM,0,23,9,gfpga_pad_IO_A2F[793],,,,
BOTTOM,0,23,10,gfpga_pad_IO_A2F[794],,,,
BOTTOM,0,23,11,gfpga_pad_IO_A2F[795],,,,
BOTTOM,0,23,12,gfpga_pad_IO_A2F[796],,,,
BOTTOM,0,23,13,gfpga_pad_IO_A2F[797],,,,
BOTTOM,0,23,14,gfpga_pad_IO_A2F[798],,,,
BOTTOM,0,23,15,gfpga_pad_IO_A2F[799],,,,
BOTTOM,0,22,0,gfpga_pad_IO_A2F[800],,,,
BOTTOM,0,22,1,gfpga_pad_IO_A2F[801],,,,
BOTTOM,0,22,2,gfpga_pad_IO_A2F[802],,,,
BOTTOM,0,22,3,gfpga_pad_IO_A2F[803],,,,
BOTTOM,0,22,4,gfpga_pad_IO_A2F[804],,,,
BOTTOM,0,22,5,gfpga_pad_IO_A2F[805],,,,
BOTTOM,0,22,6,gfpga_pad_IO_A2F[806],,,,
BOTTOM,0,22,7,gfpga_pad_IO_A2F[807],,,,
BOTTOM,0,22,8,gfpga_pad_IO_A2F[808],,,,
BOTTOM,0,22,9,gfpga_pad_IO_A2F[809],,,,
BOTTOM,0,22,10,gfpga_pad_IO_A2F[810],,,,
BOTTOM,0,22,11,gfpga_pad_IO_A2F[811],,,,
BOTTOM,0,22,12,gfpga_pad_IO_A2F[812],,,,
BOTTOM,0,22,13,gfpga_pad_IO_A2F[813],,,,
BOTTOM,0,22,14,gfpga_pad_IO_A2F[814],,,,
BOTTOM,0,22,15,gfpga_pad_IO_A2F[815],,,,
BOTTOM,0,21,0,gfpga_pad_IO_A2F[816],,,,
BOTTOM,0,21,1,gfpga_pad_IO_A2F[817],,,,
BOTTOM,0,21,2,gfpga_pad_IO_A2F[818],,,,
BOTTOM,0,21,3,gfpga_pad_IO_A2F[819],,,,
BOTTOM,0,21,4,gfpga_pad_IO_A2F[820],,,,
BOTTOM,0,21,5,gfpga_pad_IO_A2F[821],,,,
